numb_back,order_set,img_numb,response,repeat_img,repeat_pos,lure,lure_kind,answer,time,file
2,3,4,0,,1,0,,1,0.000983953475952,2_2.txt
2,3,3,0,,2,0,,0,,2_2.txt
2,3,2,0,,3,0,,0,,2_2.txt
2,3,6,0,,4,0,,0,,2_2.txt
2,3,2,1,2,5,0,,0,,2_2.txt
2,3,1,0,,6,0,,0,,2_2.txt
2,3,8,0,,7,0,,1,0.00102996826172,2_2.txt
2,3,7,0,,8,0,,0,,2_2.txt
2,3,8,0,8,9,0,,0,,2_2.txt
2,3,4,1,,10,0,,0,,2_2.txt
2,3,3,0,,11,0,,0,,2_2.txt
2,3,5,0,,12,0,,0,,2_2.txt
2,3,3,1,3,13,0,,0,,2_2.txt
2,3,1,0,,14,0,,0,,2_2.txt
2,3,4,0,,15,0,,0,,2_2.txt
2,3,1,1,1,16,0,,0,,2_2.txt
2,3,6,0,,17,0,,0,,2_2.txt
2,3,7,0,,18,0,,0,,2_2.txt
2,3,6,1,6,19,0,,0,,2_2.txt
2,3,5,0,,20,0,,0,,2_2.txt
2,3,7,0,,21,1,3back,0,,2_2.txt
2,3,5,1,5,22,0,,0,,2_2.txt
1,2,5,0,,1,0,,0,,1_1.txt
1,2,8,0,,2,0,,0,,1_1.txt
1,2,8,1,8,3,0,,1,0.000964879989624,1_1.txt
1,2,2,0,,4,0,,0,,1_1.txt
1,2,1,0,,5,0,,0,,1_1.txt
1,2,1,1,1,6,0,,1,0.00104284286499,1_1.txt
1,2,4,0,,7,0,,0,,1_1.txt
1,2,7,0,,8,0,,0,,1_1.txt
1,2,7,1,7,9,0,,1,0.00107002258301,1_1.txt
1,2,3,0,,10,0,,0,,1_1.txt
1,2,6,0,,11,0,,1,0.234783172607,1_1.txt
1,2,6,1,6,12,0,,1,0.518422842026,1_1.txt
1,2,3,0,,13,0,,1,0.518425941467,1_1.txt
1,2,5,0,,14,0,,0,,1_1.txt
1,2,2,0,,15,0,,1,0.0345411300659,1_1.txt
1,2,2,1,2,16,0,,1,0.368004083633,1_1.txt
1,2,8,0,,17,0,,0,,1_1.txt
1,2,5,0,,18,0,,0,,1_1.txt
1,2,4,0,,19,0,,0,,1_1.txt
1,2,4,1,4,20,0,,1,0.101048946381,1_1.txt
1,2,7,0,,21,0,,0,,1_1.txt
1,5,6,0,,1,0,,0,,1_4.txt
1,5,4,0,,2,0,,0,,1_4.txt
1,5,5,1,,3,0,,0,,1_4.txt
1,5,4,0,,4,0,,0,,1_4.txt
1,5,4,1,4,5,0,,1,0.000948905944824,1_4.txt
1,5,7,0,,6,0,,0,,1_4.txt
1,5,5,0,,7,0,,0,,1_4.txt
1,5,5,1,5,8,0,,1,0.101057052612,1_4.txt
1,5,1,0,,9,0,,0,,1_4.txt
1,5,8,0,,10,0,,0,,1_4.txt
1,5,8,1,8,11,0,,1,0.00106382369995,1_4.txt
1,5,1,0,,12,0,,0,,1_4.txt
1,5,6,0,,13,0,,0,,1_4.txt
1,5,2,0,,14,0,,0,,1_4.txt
1,5,2,1,2,15,0,,0,,1_4.txt
1,5,8,0,,16,0,,0,,1_4.txt
1,5,7,0,,17,0,,0,,1_4.txt
1,5,7,1,7,18,0,,1,0.000910043716431,1_4.txt
1,5,1,0,,19,0,,0,,1_4.txt
1,5,3,0,,20,0,,0,,1_4.txt
1,5,3,0,3,21,0,,1,0.000133991241455,1_4.txt
1,4,2,0,,1,0,,0,,1_3.txt
1,4,1,0,,2,0,,0,,1_3.txt
1,4,4,0,,3,0,,0,,1_3.txt
1,4,4,1,4,4,0,,1,0.268054008484,1_3.txt
1,4,5,0,,5,0,,0,,1_3.txt
1,4,5,0,5,6,0,,1,0.301661968231,1_3.txt
1,4,6,0,,7,0,,0,,1_3.txt
1,4,3,1,,8,0,,1,0.134562969208,1_3.txt
1,4,2,0,,9,0,,0,,1_3.txt
1,4,2,0,2,10,0,,1,0.0844619274139,1_3.txt
1,4,7,0,,11,0,,0,,1_3.txt
1,4,1,1,,12,0,,0,,1_3.txt
1,4,8,0,,13,0,,0,,1_3.txt
1,4,8,0,8,14,0,,1,0.117989063263,1_3.txt
1,4,7,1,,15,0,,0,,1_3.txt
1,4,5,0,,16,0,,0,,1_3.txt
1,4,3,0,,17,0,,1,0.1179459095,1_3.txt
1,4,3,1,3,18,0,,1,0.468239068985,1_3.txt
1,4,1,0,,19,0,,0,,1_3.txt
1,4,6,0,,20,0,,0,,1_3.txt
1,4,6,1,6,21,0,,1,0.268076896667,1_3.txt
