numb_back,order_set,img_numb,response,repeat_img,repeat_pos,lure,lure_kind,answer,time,file
2,3,4,0,,1,0,,1,0.000962972640991,2_2.txt
2,3,3,0,,2,0,,0,,2_2.txt
2,3,2,0,,3,0,,0,,2_2.txt
2,3,6,0,,4,0,,0,,2_2.txt
2,3,2,1,2,5,0,,1,0.283589839935,2_2.txt
2,3,1,0,,6,0,,1,0.268102169037,2_2.txt
2,3,8,0,,7,0,,0,,2_2.txt
2,3,7,0,,8,0,,1,0.000991106033325,2_2.txt
2,3,8,0,8,9,0,,0,,2_2.txt
2,3,4,1,,10,0,,0,,2_2.txt
2,3,3,0,,11,0,,0,,2_2.txt
2,3,5,0,,12,0,,0,,2_2.txt
2,3,3,1,3,13,0,,1,0.201634168625,2_2.txt
2,3,1,0,,14,0,,0,,2_2.txt
2,3,4,0,,15,0,,1,0.134541034698,2_2.txt
2,3,1,1,1,16,0,,0,,2_2.txt
2,3,6,0,,17,0,,1,0.251473903656,2_2.txt
2,3,7,0,,18,0,,0,,2_2.txt
2,3,6,1,6,19,0,,0,,2_2.txt
2,3,5,0,,20,0,,0,,2_2.txt
2,3,7,0,,21,1,3back,0,,2_2.txt
2,3,5,1,5,22,0,,1,0.0177569389343,2_2.txt
1,4,2,0,,1,0,,0,,1_3.txt
1,4,1,0,,2,0,,0,,1_3.txt
1,4,4,0,,3,0,,0,,1_3.txt
1,4,4,1,4,4,0,,1,0.00097918510437,1_3.txt
1,4,5,0,,5,0,,0,,1_3.txt
1,4,5,0,5,6,0,,1,0.00102496147156,1_3.txt
1,4,6,0,,7,0,,0,,1_3.txt
1,4,3,1,,8,0,,1,0.00111508369446,1_3.txt
1,4,2,0,,9,0,,0,,1_3.txt
1,4,2,0,2,10,0,,1,0.000900983810425,1_3.txt
1,4,7,0,,11,0,,0,,1_3.txt
1,4,1,1,,12,0,,0,,1_3.txt
1,4,8,0,,13,0,,1,0.000891923904419,1_3.txt
1,4,8,0,8,14,0,,1,0.0845520496368,1_3.txt
1,4,7,1,,15,0,,0,,1_3.txt
1,4,5,0,,16,0,,0,,1_3.txt
1,4,3,0,,17,0,,0,,1_3.txt
1,4,3,1,3,18,0,,1,0.00103807449341,1_3.txt
1,4,1,0,,19,0,,0,,1_3.txt
1,4,6,0,,20,0,,0,,1_3.txt
1,4,6,1,6,21,0,,1,0.151133060455,1_3.txt
1,2,5,0,,1,0,,0,,1_1.txt
1,2,8,0,,2,0,,0,,1_1.txt
1,2,8,1,8,3,0,,1,0.034542798996,1_1.txt
1,2,2,0,,4,0,,0,,1_1.txt
1,2,1,0,,5,0,,0,,1_1.txt
1,2,1,1,1,6,0,,1,0.00108480453491,1_1.txt
1,2,4,0,,7,0,,0,,1_1.txt
1,2,7,0,,8,0,,0,,1_1.txt
1,2,7,1,7,9,0,,1,0.0179469585419,1_1.txt
1,2,3,0,,10,0,,0,,1_1.txt
1,2,6,0,,11,0,,1,0.00102686882019,1_1.txt
1,2,6,1,6,12,0,,1,0.218147993088,1_1.txt
1,2,3,0,,13,0,,1,0.0179030895233,1_1.txt
1,2,5,0,,14,0,,0,,1_1.txt
1,2,2,0,,15,0,,1,0.0344979763031,1_1.txt
1,2,2,1,2,16,0,,0,,1_1.txt
1,2,8,0,,17,0,,0,,1_1.txt
1,2,5,0,,18,0,,1,0.00103807449341,1_1.txt
1,2,4,0,,19,0,,1,0.151391029358,1_1.txt
1,2,4,1,4,20,0,,1,0.117774963379,1_1.txt
1,2,7,0,,21,0,,0,,1_1.txt
1,10,4,0,,1,0,,0,,1_9.txt
1,10,2,0,,2,0,,0,,1_9.txt
1,10,2,1,2,3,0,,1,0.00109696388245,1_9.txt
1,10,8,0,,4,0,,0,,1_9.txt
1,10,8,1,8,5,0,,1,0.00110006332397,1_9.txt
1,10,6,0,,6,0,,0,,1_9.txt
1,10,4,0,,7,0,,0,,1_9.txt
1,10,4,1,4,8,0,,1,0.000957012176514,1_9.txt
1,10,5,0,,9,0,,0,,1_9.txt
1,10,3,0,,10,0,,0,,1_9.txt
1,10,1,0,,11,0,,0,,1_9.txt
1,10,3,0,,12,0,,0,,1_9.txt
1,10,3,1,3,13,0,,1,0.117915153503,1_9.txt
1,10,1,0,,14,0,,0,,1_9.txt
1,10,7,0,,15,0,,0,,1_9.txt
1,10,7,1,7,16,0,,1,0.000949144363403,1_9.txt
1,10,5,0,,17,0,,0,,1_9.txt
1,10,6,0,,18,0,,0,,1_9.txt
1,10,6,1,6,19,0,,1,0.0345799922943,1_9.txt
1,10,8,0,,20,0,,0,,1_9.txt
1,10,2,0,,21,0,,0,,1_9.txt
2,4,6,0,,1,0,,0,,2_3.txt
2,4,1,0,,2,0,,0,,2_3.txt
2,4,6,1,6,3,0,,1,0.000988960266113,2_3.txt
2,4,8,0,,4,0,,0,,2_3.txt
2,4,3,0,,5,0,,0,,2_3.txt
2,4,5,0,,6,0,,0,,2_3.txt
2,4,3,1,3,7,0,,0,,2_3.txt
2,4,8,0,,8,0,,1,0.0513129234314,2_3.txt
2,4,1,0,,9,0,,0,,2_3.txt
2,4,8,1,8,10,0,,0,,2_3.txt
2,4,4,0,,11,0,,0,,2_3.txt
2,4,2,0,,12,0,,1,0.00108599662781,2_3.txt
2,4,5,0,,13,0,,1,0.250339031219,2_3.txt
2,4,7,0,,14,0,,1,0.000982999801636,2_3.txt
2,4,5,1,5,15,0,,0,,2_3.txt
2,4,2,0,,16,0,,0,,2_3.txt
2,4,1,0,,17,0,,0,,2_3.txt
